Roaster,CoffeeName,Region,Country,Process,Variety,Altitude,TastingNotes
Coffee Wrights,Gatare,Kayanza,Burundi,Washed,Bourbon,1680masl,"Burnt Sugar, Citrus, Green Apple, Jasmine"
Coffee Wrights,Banko Gotiti,Gedeb District,Ethiopia,Natural,Ethiopian Heirloom,2150masl,"Passion Fruit, Mango, Lavender, Coconut"
Cafés Belleville,Hunapu,Antigua,Guatemala,Washed,Bourbon & Caturra,1500-1800masl,"Apple, Sweet Caramel, Balanced, Juicy"
Cafés Belleville,Hallo Fuafate,Jimma,Ethiopia,Washed,Heirloom,2025-2200masl,"Floral, Dried Fruits"
Coffee Department,Mistrato,Risaralda,Colombia,Washed,"Caturra, Colombia, Castillo",1900masl,"Currants, Cherry, Tart"
Coffee Department,Divisadero,Ataco,El Salvador,Natural,Pacamara,1350masl,"Pink Grape, Pineapple, Caramel Candy"
Coffee Department,Wolena,Guji,Ethiopia,Natural,Grade 1 Heirloom,1900-2050masl,"Crispy Red Apple, Melon, Fig"
Coffee Department,Lilith,Cerrado Mineiro,Brazil,Natural,Catuai,905masl,"Chocolate, Roasted Hazelnuts, Peach"
Coffee Collective,Kieni AA,Nyeri,Kenya,Washed,SL28 & SL34,1800masl,"Intense Sweetness, Blackberry, Rhubarb, Vanilla"
Coffee Collective,Halo Beriti,Yirgacheffe,Ethiopia,Natural,Heirloom,1900-2400masl,"Peach, Bergamot, Strawberry, Pineapple"
Coffee Collective,Halo Beriti,Yirgacheffe,Ethiopia,Washed,Heirloom,1900-2400masl,"Peach, Bergamot, Rosehip, Lilac"
Coffee Collective,Finca Vista Hermosa,Huehuetenango,Guatemala,Washed,"Red and Yellow Bourbon, Caturra and Pache",1600-1900masl,"Pecan, Plum, Nougat"
Artisan Roast,Don Alfonso,Turrialba,Costa Rica,Red Honey,Centroamericano (F1 Grafted Hybrid),1400masl,"Sour Plum, Red Apple, Star Fruit"
Artisan Roast,Qore,Kochere,Ethiopia,Honey,Heirloom,1900-2200masl,"Tangerine, Jasmine, Asian Pear"
Artisan Roast,Kamunyaka AA,Nyeri,Kenya,Washed,SL28,1800masl,"Juniper Berry, Lemon Drop, Sage Leaf"
Artisan Roast,Uraga Samii,Guji,Ethiopia,Washed,Heirloom,2000masl,"Fresh Figs, Watermelon, Hibiscus"
Workshop Coffee,Buziraguhindwa,Kayanza,Burundi,Experimental,Red Bourbon,2000masl,"Tangy & Vibrant, Lime, Strawberry, Sugared Violet"
Workshop Coffee,Ibisi PB,Maraba,Rwanda,Washed,Red Bourbon,1900-2000masl,"Pear, Black Grape, Caramel, Milk Ch"
Workshop Coffee,Hunkute,Sidamo,Ethiopia,Washed,Sedancho & Native Typica Hybrids,1900-2000masl,"Clean & Sweet, Chamomile, Lemon, Honey"
Workshop Coffee,Karimikui AA,Kirinyaga,Kenya,Washed,"Predominantly SL28 & SL34, Some Ruiru 11",1650-1900masl,"Raspberry, Crab Apple Jelly, Hibiscus, Pink Grapefruit"
Bonanza Coffee,Sasaba,Guji,Ethiopia,Natural,Local Heirloom,2150masl,"Strawberry, Raspberry, Rose, Shortbread"
Bonanza Coffee,El Martillo N°2,Santa Ana Volcano,El Salvador,Washed,Bourbon,1700masl,"Malt, Pomegranate, Dark Chocolate"
Bonanza Coffee,San Martin by Mauricio Jimenez,Terrazu,Costa Rica,Yellow Honey,Catuai,1800-2000masl,"Prune Juice, Toffee, Apple, Raisin Loaf"
Bonanza Coffee,Adola by Israel Degfa,Guji,Ethiopia,Washed,Heirloom,2100masl,"Lemon Sorbet, Plum, Rooibos Tea"
Bonanza Coffee,Finca Monteverde by Gildardo G. Tejada,Tolima,Colombia,Green Natural,Wush Wush,1850masl,"An 80 hour anerobic and 48 hour aerobic fermentation leads this exciting coffee to an incredible complex, funky and fruit driven cup."
Morgon Coffee,Ferney Cruz,Tarqui,Colombia,Washed,Caturra,1950masl,"Layered, Peach, Jasmine"
Morgon Coffee,Astrid Medina,Gaitania,Colombia,Washed,Caturra and Colombia,1850masl,"Solid, Tropical Fruits, Sweet"
Morgon Coffee,Eduardo Tulcan Muñoz,Acevedo,Colombia,Washed,Pink Bourbon,1700masl,"Creamy, Jasmine, Structured"
Morgon Coffee,Sandra Milena Mora,Palestina,Colombia,Washed,Caturra,1700masl,"Creamy, Red Berries, Caramel"
Flight Coffee,Shyira,Nyabihu,Rwanda,Washed,Red Bourbon,2000masl,"Brown Sugar, Blackcurrant, Grapefruit"
Flight Coffee,Maria,Caldas,Colombia,Nuna Honey,Orange Castillo,1800-1900masl,"Green Apple, Milk Chocolate, White Grape"
Flight Coffee,Aricha,Yirgacheffe,Ethiopia,Pink Natural,Heirloom,1950-2300masl,"Blueberry, Caramel, Peach"
Flight Coffee,Kilimbi,Nyamasheke,Rwanda,Honey,Red Bourbon,1600-1650masl,"Caramel, Red Grape, Tamarillo"
Lüna Coffee,Disco Marmalade,Guji,Ethiopia,Washed,Heirloom,1900-2200masl,"Bright & Sweet, Bergamot, White Grape"
Lüna Coffee,Date Juice,Kayanza Province,Burundi,Washed,Bourbon,1800-2100masl,"Floral Quince, Spiced Stewed Plums, Sticky Date Sweetness"
Lüna Coffee,Pineapple Cake,Huila,Colombia,Washed,Colombia Hybrid,1650masl,"Cantaloupe, Elderflower, Pineapple Cake"
Lüna Coffee,Candy Cola,Huila,Colombia,Washed,Caturra,1750masl,"Herbal, Licorice, Cola, Sweet Crisp Apple"
Friedhats,Ramos Ccoillar,Satipo,Peru,Washed,"Typica, Caturra, Bourbon, Pache",1750-1800masl,"80% Cacao, Citrus, Vanilla"
Friedhats,Mammutidae Tabi,Huila,Colombia,Natural,Tabi,1700-1900masl,"Juicy, Tropical Fruits, Yellow Fruits"
Friedhats,Suke Quto,Guji,Ethiopia,Washed,"Kurume, Welicho",1800-2200masl,"White Peach, Black Tea, Citric Acidity"
Friedhats,Jairo Lopez Ospina,Tolima,Colombia,Washed,"Yellow Typica, Yellow Bourbon",1900masl,"Black Tea, Blackberry, Blackstrap"
Calendar Coffee,Vitaliano Merino,Zamora,Ecuador,Washed,Caturra & Typica Mejorado,1750masl,"Cantaloupe Melon, Wild Honey"
Calendar Coffee,Diocides Garcia,Tolima,Colombia,Washed,Caturra & Castillo,1790masl,"Blackberry, Sweet Grapefruit"
Calendar Coffee,Israel Degfa Uraga,Guji,Ethiopia,Washed,Heirloom,2000-2400masl,"Peach, Papaya"
Calendar Coffee,Maura Ochoa,Chalatenago,El Salvador,Washed,Pacas & Bourbon,1500-1800masl,"Yellow Pear, Brown Sugar"
Five Senses,Mwendi Wega,Kirinyaga,Kenya,Washed,SL28 & Ruiri 11,1800masl,"Black Currant, Sparkling Acidity, Beautiful Complexity"
Five Senses,Ardi,Guji,Ethiopia,Natural,Heirloom,1750-1900masl,"Mixed Berries, Ripe Orange, Dark Chocolate"
Five Senses,Karadykan,Chikmagalur,India,Natural,Catimor,950masl,"Wine Gums, Golden Raisin, Brown Sugar"
Five Senses,Nkonge Hill,Heza,Burundi,Experimental Orange,Heirloom & Bourbon,1960masl,"Mango Pie, Pineapple, Creamy"
Apartment Coffee,Uraga Bildimoo,Guji,Ethiopia,Washed,Heirloom,2400masl,"Apricot, Grapefruit, Hibiscus"
Apartment Coffee,Kangocho Lot #59,Nyeri,Kenya,Washed,"SL28, SL34, Batian",1600masl,"Blackcurrant, Blackberry, Lavender"
Apartment Coffee,Caballero,Marcala,Honduras,Washed,Catuai,1600masl,"Plum, Red Apple, Hazelnut"
Apartment Coffee,La Conchita,Antioquia,Colombia,Washed,Caturra,1900masl,"White Peach, Nectarine, Almond"
Father Coffee,Boji Semi-Shade #16,Kochere,Ethiopia,Washed,Heirloom,1890-2100masl,"Apricot, Earl Grey, Lemon, Floral"
Father Coffee,Alko Kerinci,West Sumatra,Indonesia,Natural,"Andung Sari, Sigarar Utang, Lini S795, P88",1400-1600masl,"Passion Fruit, Lemonade, Buttery, Sweet"
Father Coffee,Don Eli Double-Washed,Tarrazu,Costa Rica,Washed,Catuai,1900masl,"Green Apple, Carrot Cake, Floral"
Father Coffee,Thageini Natural #1,Nyeri,Kenya,Natural,SL28 & SL34,1650-1800masl,"Butterscotch, Lime, Red Apple, Strawberry, Wafer"
Talormade,Las Ranas San Francisco,Santa Ana,El Salvador,Natural,"Bourbon, Pacas",1500masl,"Floral, Delicate, Winey"
Talormade,Aricha #3,Aricha,Ethiopia,Washed,Heirloom,1950-2150masl,"Lime Zest, Dried Apricot, Jasmine"
Talormade,Adola Kelloo #1,Guji,Ethiopia,Washed,Heirloom,2100masl,"Jasmine, Mandarine, Peach"
Talormade,AA Kagwanja #036,Kagwanja,Kenya,Washed,"SL28, SL34, Batian",1600-1800masl,"Chocolate, Berry, Plum"
The Barn,Huye Mountain,Huye District,Rwanda,Washed,Red Bourbon,1700-2200masl,"Milk Chocolate, Orange Peel, Raisin"
The Barn,Volcan Azul,Central Valley,Costa Rica,Natural,Caturra,1400-1500masl,"Dried Fig, Vanilla, Intense"
The Barn,Caballero,La Paz,Honduras,Washed,Catuai,1580masl,"Red Grape, Toffee, Velvety"
The Barn,El Marcelo,Cauca,Colombia,Washed,Castillo,2150masl,"Cranberry, Hibiscus, Juicy"
Cupping Room,Fausto Romo Sidra,Pichincha,Ecuador,Washed,Sidra,1300masl,"Apple Cider, Bosc Pear, Black Tea"
Cupping Room,Anasora Kelloo by Israel Degfa,Guji,Ethiopia,Washed,Heirloom,2350masl,"Ripe Peach, Mango, Black Tea"
Cupping Room,Kangocho AA,Nyeri,Kenya,Washed,"SL-28, SL-34, Batian",1600-1800masl,"Black Currant, Tropical Fruits, Fruit Punch"
Cupping Room,Bambito Gesha,Volcán,Panama,Washed,Gesha,1600-1800masl,"Reisling Wine, Lavender, Fuji Apple"
Bailies Coffee,Yabitu Koba,Guji,Ethiopia,Washed,Heirloom,2160-2320masl,"Apricot, Pomegranate, Chamomile"
Bailies Coffee,Los Cipreses,La Libertad,Guatemala,Washed,Mundo Novo,1800masl,"Red Apple, Molasses, Roasted Hazelnuts"
Bailies Coffee,Volcan Azul,Central Valley,Costa Rica,Natural,Caturra,1500-1700masl,"Honeydew, Sultanas, Vanilla Pod"
Bailies Coffee,Nemba,Kayanza,Burundi,Natural,Red Bourbon,1800masl,"Dried Pineapple, Rooibos Tea, Dark Chocolate"
Assembly,Raimutin,Ermera,Timor-Leste,Natural,"Hibrido de Timor, Moka & Typica",1700-1800masl,"Red Plum, Citrus, Juicy"
Assembly,Chelbesa,Gedeb,Ethiopia,Natural,Kurume & Dega,1925-2110masl,"Ripe Red Fruit, Caramel, Tealike"
Assembly,El Encanto,Antioquia,Colombia,Honey,Castillo,1300-1600masl,"Pomegranate, Creamy, Stone Fruit, Sweet"
Assembly,Bumbogo,Gakenke,Rwanda,Washed,Bourbon,1650-2000masl,"Cranberry, Caramel, Syrupy"
Morgon Coffee,Ferney Cruz,Tarqui,Colombia,Washed,Caturra,1900masl,"Sweet, Orange Blossom, Raspberry"
Morgon Coffee,Sandra Milena Mora,Palestina,Colombia,Washed,Tabi,1700masl,"Layered, Red Apple, Milk Chocolate"
Morgon Coffee,Sandra Milena Mora,Palestina,Colombia,Washed,Caturra,1700masl,"Creamy, Tropical Fruits, Caramel"
Morgon Coffee,Daniel Muñoz,San Augustín,Colombia,Washed,Pink Bourbon,1850masl,"Elegant, Floral, Juicy"
Lüna Coffee,Raspberry Butter,Cajamarca,Peru,Washed,Caturra & Bourbon,1600masl,"Raspberry, Buttery"
Lüna Coffee,Date Juice,Kayanza,Burundi,Washed,Red Bourbon,1700masl,"Medjool Date, Floral Quince, Juicy"
Lüna Coffee,Murage Estate AB,Kirinyaga,Kenya,Washed,"SL28, SL34 & Ruiru 11",1700masl,"Red Berries, Mango, Creamy"
Lüna Coffee,Blue Honey,Nariño,Colombia,Washed,Castillo,masl,"Blueberry, Creamy, Honey"
